        Предмет Номер парты            Ряд     Вид парты  ID
0  Русский язык           1     Первый ряд   Одноместная  01
1         Химия           2     Второй ряд   Двухместная  02
2        Физика           3     Третий ряд  Двухместная   03
3      Биология           4  Четвертый ряд  Двухместная   04
4   Информатика           5      Пятый ряд   Одноместная  05
        Предмет Номер парты            Ряд     Вид парты  ID
0  Русский язык           1     Первый ряд   Одноместная  01
1         Химия           2     Второй ряд   Двухместная  02
2        Физика           3     Третий ряд  Двухместная   03
3      Биология           4  Четвертый ряд  Двухместная   04
4   Информатика           5      Пятый ряд   Одноместная  05
